dcterms:title,dcterms:creator,dcterms:source,dcterms:identifier,bibo:affirmedBy,dcterms:date,curation:tag,dcterms:alternative,dcterms:type,dcterms:identifier,dcterms:modified
冬瓜山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_082.jpg,臺灣總督府,明治三十七年調製,082,冬瓜山,Image,82,大正十年十月訂正
蘇澳,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_081.jpg,臺灣總督府,明治三十七年調製,081,蘇澳,Image,81,大正十年十月訂正
利澤簡,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_080.jpg,臺灣總督府,明治三十七年調製,080,利澤簡,Image,80,大正十年十月訂正
三峽,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_056.jpg,臺灣總督府,明治三十七年調製,056,三角湧,Image,56,大正十年十月訂正
桃園,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_055.jpg,臺灣總督府,明治三十七年調製,055,桃園街,Image,55,大正十年十月訂正
成福,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_054.jpg,臺灣總督府,明治三十七年調製,054,成福,Image,54,大正十年十月訂正
樹林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_053.jpg,臺灣總督府,明治三十七年調製,053,樹林,Image,53,大正十年十月訂正
紅柴林西部,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_052.jpg,臺灣總督府,明治三十七年調製,052,紅柴林西部,Image,52,大正十年十月訂正
社,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_051.jpg,臺灣總督府,明治三十七年調製,051,社,Image,51,大正十年十月訂正
屈尺,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_050.jpg,臺灣總督府,明治三十七年調製,050,屈尺,Image,50,大正十年十月訂正
景尾,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_049.jpg,臺灣總督府,明治三十七年調製,049,景尾,Image,49,大正十年十月訂正
紅柴林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_048.jpg,臺灣總督府,明治三十七年調製,048,紅柴林,Image,48,大正十年十月訂正
隘界,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_047.jpg,臺灣總督府,明治三十七年調製,047,隘界,Image,47,大正十年十月訂正
礁溪西部,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_046.jpg,臺灣總督府,明治三十七年調製,046,礁溪西部,Image,46,大正十年十月訂正
灣潭,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_045.jpg,臺灣總督府,明治三十七年調製,045,灣潭,Image,45,大正十年十月訂正
深坑,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_044.jpg,臺灣總督府,明治三十七年調製,044,深坑,Image,44,大正十年十月訂正
羅東,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_043.jpg,臺灣總督府,明治三十七年調製,043,羅東,Image,43,大正十年十月訂正
宜蘭,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_042.jpg,臺灣總督府,明治三十七年調製,042,宜蘭,Image,42,大正十年十月訂正
礁溪,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_041.jpg,臺灣總督府,明治三十七年調製,041,礁溪,Image,41,大正十年十月訂正
倒吊子,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_040.jpg,臺灣總督府,明治三十七年調製,040,倒吊仔,Image,40,大正十年十月訂正
坪林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_039.jpg,臺灣總督府,明治三十七年調製,039,坪林尾,Image,39,大正十年十月訂正
烏山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_034.jpg,臺灣總督府,明治三十七年調製,034,烏山,Image,34,大正十年十月訂正
坪頂,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_026.jpg,臺灣總督府,明治三十七年調製,026,坪頂,Image,26,大正十年十月訂正
樹林口,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_025.jpg,臺灣總督府,明治三十七年調製,025,樹林口,Image,25,大正十年十月訂正
板橋,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_023.jpg,臺灣總督府,明治三十七年調製,023,枋橋,Image,23,大正十年十月訂正
北投,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_022.jpg,臺灣總督府,明治三十七年調製,022,北投,Image,22,大正十年十月訂正
士林,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_017.jpg,臺灣總督府,明治三十七年調製,017,士林,Image,17,大正十年十月訂正
七星山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_016.jpg,臺灣總督府,明治三十七年調製,016,七星山,Image,16,大正十年十月訂正
竹子山,臨時臺灣土地調查局,http://creativecommons.org/publicdomain/mark/1.0/,JM20K_1921_015.jpg,臺灣總督府,明治三十七年調製,015,竹仔山,Image,15,大正十年十月訂正
